"testName","outcome","duration"
"AISAM.IntegrationTests.PermissionHttpTests.ViewerCannotBypassAnalyticsThroughRouteVariants(path: ""/api/dashboard/summary/"")","Passed","00:00:00.2033107"
"AISAM.IntegrationTests.PermissionHttpTests.ViewerCannotBypassAnalyticsThroughRouteVariants(path: ""/api/analytics/overview/"")","Passed","00:00:00.2215477"
"AISAM.IntegrationTests.PermissionHttpTests.TemporaryEdit_UsesRealMutationServiceAndImmediatelyDeniesRevocation","Passed","00:00:01.3257760"
"AISAM.IntegrationTests.PermissionSecurityTests.TemporaryCanEdit_DoesNotGrantOtherActions(action: Assign, expected: False)","Passed","00:00:00.1535041"
"AISAM.IntegrationTests.PermissionSecurityTests.TemporaryExpiry_IsEnforcedWithoutWorker(seconds: 600, expected: True)","Passed","00:00:00.1396158"
"AISAM.IntegrationTests.PermissionSecurityTests.SettingAudit_NeverStoresArbitraryInput(key: ""credential_rotation"", batch: True)","Passed","00:00:00.3095751"
"AISAM.IntegrationTests.PermissionHttpTests.ViewerCannotBypassAnalyticsThroughRouteVariants(path: ""/api/credit-usage/"")","Passed","00:00:00.2172100"
"AISAM.IntegrationTests.PermissionSecurityTests.CampaignMetadata_DoesNotSerializeProtectedMetrics(role: Viewer)","Passed","00:00:00.1134271"
"AISAM.IntegrationTests.PermissionSecurityTests.SettingAudit_NeverStoresArbitraryInput(key: ""nested_runtime_configuration"", batch: True)","Passed","00:00:00.1226321"
"AISAM.IntegrationTests.PermissionHttpTests.WorkspaceRoleDowngrade_UsesDatabaseRoleImmediately","Passed","00:00:00.2155953"
"AISAM.IntegrationTests.PermissionHttpTests.SessionChange_InvalidatesExistingSignedToken(change: ""expired"")","Passed","00:00:00.1973264"
"AISAM.IntegrationTests.PermissionHttpTests.ViewerCannotBypassAnalyticsThroughRouteVariants(path: ""/api/access/me/analytics"")","Passed","00:00:00.2076507"
"AISAM.IntegrationTests.PermissionHttpTests.ContentActions_ViewerCanReadSafeCapabilitiesWithoutAnalytics","Passed","00:00:00.2565409"
"AISAM.IntegrationTests.PermissionSecurityTests.PermissionRelations_RejectCrossWorkspaceWrites(relation: ""grant"")","Passed","00:00:00.1303762"
"AISAM.IntegrationTests.PermissionSecurityTests.TemporaryExpiry_IsEnforcedWithoutWorker(seconds: -60, expected: False)","Passed","00:00:00.1359206"
"AISAM.IntegrationTests.PermissionHttpTests.ViewerMutation_IsDeniedBeforeControllerExecution(method: ""POST"", path: ""/api/content"")","Passed","00:00:00.2167881"
"AISAM.IntegrationTests.PermissionSecurityTests.TemporaryCanEdit_DoesNotGrantOtherActions(action: Clone, expected: False)","Passed","00:00:00.1465189"
"AISAM.IntegrationTests.PermissionHttpTests.ViewerMutation_IsDeniedBeforeControllerExecution(method: ""POST"", path: ""/api/posts"")","Passed","00:00:00.2343696"
"AISAM.IntegrationTests.PermissionHttpTests.ViewerMutation_IsDeniedBeforeControllerExecution(method: ""PUT"", path: ""/api/content/00000000-0000-0000-0000-000000000001"")","Passed","00:00:00.2002594"
"AISAM.IntegrationTests.PermissionSecurityTests.PermissionRelations_RejectCrossWorkspaceWrites(relation: ""participation"")","Passed","00:00:00.1316025"
"AISAM.IntegrationTests.PermissionSecurityTests.TemporaryEdit_DoesNotSurviveRemovalFromAssignedTeam","Passed","00:00:00.1156864"
"AISAM.IntegrationTests.PermissionSecurityTests.CampaignMetadata_DoesNotSerializeProtectedMetrics(role: ContentCreator)","Passed","00:00:02.3054553"
"AISAM.IntegrationTests.PermissionSecurityTests.PermissionRelations_RejectCrossWorkspaceWrites(relation: ""task"")","Passed","00:00:00.1436707"
"AISAM.IntegrationTests.PermissionSecurityTests.TemporaryExpiry_IsEnforcedWithoutWorker(seconds: 0, expected: False)","Passed","00:00:00.1262523"
"AISAM.IntegrationTests.PermissionSecurityTests.WorkspaceAccounting_IsIndependentOfVisibility(role: ContentCreator)","Passed","00:00:00.1149557"
