category,file,line
background,AISAM-BE/AISAM.API/Program.cs,224
sensitive_projection,AISAM-BE/AISAM.API/Program.cs,244
sensitive_projection,AISAM-BE/AISAM.API/Program.cs,302
sensitive_projection,AISAM-BE/AISAM.API/Program.cs,315
background,AISAM-BE/AISAM.API/Program.cs,324
background,AISAM-BE/AISAM.API/Program.cs,325
background,AISAM-BE/AISAM.API/Program.cs,326
background,AISAM-BE/AISAM.API/Program.cs,327
background,AISAM-BE/AISAM.API/Program.cs,328
background,AISAM-BE/AISAM.API/Program.cs,329
sensitive_projection,AISAM-BE/AISAM.API/Program.cs,329
background,AISAM-BE/AISAM.API/Program.cs,330
sensitive_projection,AISAM-BE/AISAM.API/Program.cs,330
sensitive_projection,AISAM-BE/AISAM.API/Program.cs,332
role_action,AISAM-BE/AISAM.API/Controllers/AccessController.cs,37
attribution,AISAM-BE/AISAM.API/Controllers/AccessController.cs,38
sensitive_projection,AISAM-BE/AISAM.API/Controllers/AccessController.cs,40
sensitive_projection,AISAM-BE/AISAM.API/Controllers/AccessController.cs,41
role_action,AISAM-BE/AISAM.API/Controllers/AccessController.cs,47
sensitive_projection,AISAM-BE/AISAM.API/Controllers/AccessController.cs,50
role_action,AISAM-BE/AISAM.API/Controllers/AccessController.cs,57
role_action,AISAM-BE/AISAM.API/Controllers/AccessController.cs,58
attribution,AISAM-BE/AISAM.API/Controllers/AccessController.cs,60
attribution,AISAM-BE/AISAM.API/Controllers/AccessController.cs,63
sensitive_projection,AISAM-BE/AISAM.API/Controllers/AdCampaignController.cs,217
sensitive_projection,AISAM-BE/AISAM.API/Controllers/AdCampaignController.cs,223
sensitive_projection,AISAM-BE/AISAM.API/Controllers/AdminAnalyticsController.cs,104
sensitive_projection,AISAM-BE/AISAM.API/Controllers/AdminAnalyticsController.cs,118
sensitive_projection,AISAM-BE/AISAM.API/Controllers/AdminAnalyticsController.cs,121
sensitive_projection,AISAM-BE/AISAM.API/Controllers/AdminAnalyticsController.cs,127
sensitive_projection,AISAM-BE/AISAM.API/Controllers/AdminAnalyticsController.cs,130
sensitive_projection,AISAM-BE/AISAM.API/Controllers/AdminAuditLogsController.cs,61
persistence,AISAM-BE/AISAM.API/Controllers/AdminHolidaysController.cs,76
role_action,AISAM-BE/AISAM.API/Controllers/AdminNotificationController.cs,48
attribution,AISAM-BE/AISAM.API/Controllers/AdminNotificationController.cs,56
persistence,AISAM-BE/AISAM.API/Controllers/AdminOpsController.cs,58
persistence,AISAM-BE/AISAM.API/Controllers/AdminOpsController.cs,63
attribution,AISAM-BE/AISAM.API/Controllers/AdminToolsController.cs,108
sensitive_projection,AISAM-BE/AISAM.API/Controllers/AdminToolsController.cs,178
persistence,AISAM-BE/AISAM.API/Controllers/AdminToolsController.cs,191
attribution,AISAM-BE/AISAM.API/Controllers/AutomationController.cs,46
attribution,AISAM-BE/AISAM.API/Controllers/AutomationController.cs,62
attribution,AISAM-BE/AISAM.API/Controllers/AutomationController.cs,118
attribution,AISAM-BE/AISAM.API/Controllers/AutomationController.cs,125
attribution,AISAM-BE/AISAM.API/Controllers/AutomationController.cs,155
attribution,AISAM-BE/AISAM.API/Controllers/AutomationController.cs,156
role_action,AISAM-BE/AISAM.API/Controllers/CollaborationTasksController.cs,18
role_action,AISAM-BE/AISAM.API/Controllers/CollaborationTasksController.cs,25
role_action,AISAM-BE/AISAM.API/Controllers/CollaborationTasksController.cs,33
role_action,AISAM-BE/AISAM.API/Controllers/CollaborationTasksController.cs,43
